accesstomysql,accesstoreverseshell,accesstosensitivefiles,accesstoexecutearbitrarycode,webreconsuccesful,Result
0,0,0,0,0,0
0,0,0,0,1,Infinity
0,0,0,0,2,0
0,0,0,1,0,Infinity
0,0,0,1,1,Infinity
0,0,0,1,2,Infinity
0,0,0,2,0,0
0,0,0,2,1,Infinity
0,0,0,2,2,0
0,0,1,0,0,60
0,0,1,0,1,Infinity
0,0,1,0,2,60
0,0,1,1,0,Infinity
0,0,1,1,1,Infinity
0,0,1,1,2,Infinity
0,0,1,2,0,60
0,0,1,2,1,Infinity
0,0,1,2,2,60
0,0,2,0,0,0
0,0,2,0,1,Infinity
0,0,2,0,2,0
0,0,2,1,0,Infinity
0,0,2,1,1,Infinity
0,0,2,1,2,Infinity
0,0,2,2,0,0
0,0,2,2,1,Infinity
0,0,2,2,2,0
0,1,0,0,0,Infinity
0,1,0,0,1,Infinity
0,1,0,0,2,Infinity
0,1,0,1,0,Infinity
0,1,0,1,1,Infinity
0,1,0,1,2,Infinity
0,1,0,2,0,Infinity
0,1,0,2,1,Infinity
0,1,0,2,2,Infinity
0,1,1,0,0,Infinity
0,1,1,0,1,Infinity
0,1,1,0,2,Infinity
0,1,1,1,0,Infinity
0,1,1,1,1,Infinity
0,1,1,1,2,Infinity
0,1,1,2,0,Infinity
0,1,1,2,1,Infinity
0,1,1,2,2,Infinity
0,1,2,0,0,Infinity
0,1,2,0,1,Infinity
0,1,2,0,2,Infinity
0,1,2,1,0,Infinity
0,1,2,1,1,Infinity
0,1,2,1,2,Infinity
0,1,2,2,0,Infinity
0,1,2,2,1,Infinity
0,1,2,2,2,Infinity
0,2,0,0,0,0
0,2,0,0,1,Infinity
0,2,0,0,2,0
0,2,0,1,0,Infinity
0,2,0,1,1,Infinity
0,2,0,1,2,Infinity
0,2,0,2,0,0
0,2,0,2,1,Infinity
0,2,0,2,2,0
0,2,1,0,0,60
0,2,1,0,1,Infinity
0,2,1,0,2,60
0,2,1,1,0,Infinity
0,2,1,1,1,Infinity
0,2,1,1,2,Infinity
0,2,1,2,0,60
0,2,1,2,1,Infinity
0,2,1,2,2,60
0,2,2,0,0,0
0,2,2,0,1,Infinity
0,2,2,0,2,0
0,2,2,1,0,Infinity
0,2,2,1,1,Infinity
0,2,2,1,2,Infinity
0,2,2,2,0,0
0,2,2,2,1,Infinity
0,2,2,2,2,0
1,0,0,0,0,200
1,0,0,0,1,Infinity
1,0,0,0,2,200
1,0,0,1,0,Infinity
1,0,0,1,1,Infinity
1,0,0,1,2,Infinity
1,0,0,2,0,200
1,0,0,2,1,Infinity
1,0,0,2,2,200
1,0,1,0,0,260
1,0,1,0,1,Infinity
1,0,1,0,2,260
1,0,1,1,0,Infinity
1,0,1,1,1,Infinity
1,0,1,1,2,Infinity
1,0,1,2,0,260
1,0,1,2,1,Infinity
1,0,1,2,2,260
1,0,2,0,0,200
1,0,2,0,1,Infinity
1,0,2,0,2,200
1,0,2,1,0,Infinity
1,0,2,1,1,Infinity
1,0,2,1,2,Infinity
1,0,2,2,0,200
1,0,2,2,1,Infinity
1,0,2,2,2,200
1,1,0,0,0,Infinity
1,1,0,0,1,Infinity
1,1,0,0,2,Infinity
1,1,0,1,0,Infinity
1,1,0,1,1,Infinity
1,1,0,1,2,Infinity
1,1,0,2,0,Infinity
1,1,0,2,1,Infinity
1,1,0,2,2,Infinity
1,1,1,0,0,Infinity
1,1,1,0,1,Infinity
1,1,1,0,2,Infinity
1,1,1,1,0,Infinity
1,1,1,1,1,Infinity
1,1,1,1,2,Infinity
1,1,1,2,0,Infinity
1,1,1,2,1,Infinity
1,1,1,2,2,Infinity
1,1,2,0,0,Infinity
1,1,2,0,1,Infinity
1,1,2,0,2,Infinity
1,1,2,1,0,Infinity
1,1,2,1,1,Infinity
1,1,2,1,2,Infinity
1,1,2,2,0,Infinity
1,1,2,2,1,Infinity
1,1,2,2,2,Infinity
1,2,0,0,0,200
1,2,0,0,1,Infinity
1,2,0,0,2,200
1,2,0,1,0,Infinity
1,2,0,1,1,Infinity
1,2,0,1,2,Infinity
1,2,0,2,0,200
1,2,0,2,1,Infinity
1,2,0,2,2,200
1,2,1,0,0,260
1,2,1,0,1,Infinity
1,2,1,0,2,260
1,2,1,1,0,Infinity
1,2,1,1,1,Infinity
1,2,1,1,2,Infinity
1,2,1,2,0,260
1,2,1,2,1,Infinity
1,2,1,2,2,260
1,2,2,0,0,200
1,2,2,0,1,Infinity
1,2,2,0,2,200
1,2,2,1,0,Infinity
1,2,2,1,1,Infinity
1,2,2,1,2,Infinity
1,2,2,2,0,200
1,2,2,2,1,Infinity
1,2,2,2,2,200
2,0,0,0,0,0
2,0,0,0,1,Infinity
2,0,0,0,2,0
2,0,0,1,0,Infinity
2,0,0,1,1,Infinity
2,0,0,1,2,Infinity
2,0,0,2,0,0
2,0,0,2,1,Infinity
2,0,0,2,2,0
2,0,1,0,0,60
2,0,1,0,1,Infinity
2,0,1,0,2,60
2,0,1,1,0,Infinity
2,0,1,1,1,Infinity
2,0,1,1,2,Infinity
2,0,1,2,0,60
2,0,1,2,1,Infinity
2,0,1,2,2,60
2,0,2,0,0,0
2,0,2,0,1,Infinity
2,0,2,0,2,0
2,0,2,1,0,Infinity
2,0,2,1,1,Infinity
2,0,2,1,2,Infinity
2,0,2,2,0,0
2,0,2,2,1,Infinity
2,0,2,2,2,0
2,1,0,0,0,Infinity
2,1,0,0,1,Infinity
2,1,0,0,2,Infinity
2,1,0,1,0,Infinity
2,1,0,1,1,Infinity
2,1,0,1,2,Infinity
2,1,0,2,0,Infinity
2,1,0,2,1,Infinity
2,1,0,2,2,Infinity
2,1,1,0,0,Infinity
2,1,1,0,1,Infinity
2,1,1,0,2,Infinity
2,1,1,1,0,Infinity
2,1,1,1,1,Infinity
2,1,1,1,2,Infinity
2,1,1,2,0,Infinity
2,1,1,2,1,Infinity
2,1,1,2,2,Infinity
2,1,2,0,0,Infinity
2,1,2,0,1,Infinity
2,1,2,0,2,Infinity
2,1,2,1,0,Infinity
2,1,2,1,1,Infinity
2,1,2,1,2,Infinity
2,1,2,2,0,Infinity
2,1,2,2,1,Infinity
2,1,2,2,2,Infinity
2,2,0,0,0,0
2,2,0,0,1,Infinity
2,2,0,0,2,0
2,2,0,1,0,Infinity
2,2,0,1,1,Infinity
2,2,0,1,2,Infinity
2,2,0,2,0,0
2,2,0,2,1,Infinity
2,2,0,2,2,0
2,2,1,0,0,60
2,2,1,0,1,Infinity
2,2,1,0,2,60
2,2,1,1,0,Infinity
2,2,1,1,1,Infinity
2,2,1,1,2,Infinity
2,2,1,2,0,60
2,2,1,2,1,Infinity
2,2,1,2,2,60
2,2,2,0,0,0
2,2,2,0,1,Infinity
2,2,2,0,2,0
2,2,2,1,0,Infinity
2,2,2,1,1,Infinity
2,2,2,1,2,Infinity
2,2,2,2,0,0
2,2,2,2,1,Infinity
2,2,2,2,2,0
