env_name,env_type,max_episodes,num_runs,avg_final_attacker_reward,std_final_attacker_reward,avg_final_defender_reward,std_final_defender_reward,avg_training_time_seconds,std_training_time_seconds
34,time,10000,5,-22208.0,10414.087382003283,-26352.0,1993.4934160914602,426.5727434158325,8.25259090432088
34,time,3000,5,-36848.0,15092.952527587171,-28636.0,1922.0884474966285,137.6697904109955,3.6394219387792486
34,time,5000,5,-28516.0,9023.581550581786,-25012.0,2387.5962807811543,223.11266989707946,4.90607869100599
34,basic,10000,5,-5056.0,4604.856566713018,-5830.0,1484.075469779081,111.75797896385193,4.633508895623352
34,basic,3000,5,-2884.0,933.1580787840826,-4820.0,1180.4914230946365,33.44281301498413,0.5816506954253021
34,basic,5000,5,-6720.0,3745.4398940578394,-4630.0,1134.8656308127408,56.749720668792726,2.0187553488351853
adt,time,10000,5,-204.0,48.0,380.0,180.0,122.51783556938172,2.5749581611309464
adt,time,3000,5,-180.0,0.0,290.0,0.0,41.99486966133118,1.645338714902113
adt,time,5000,5,-180.0,0.0,290.0,0.0,63.79863200187683,1.4936158542376627
adt,basic,10000,5,-60.0,0.0,1070.0,0.0,46.59325075149536,2.3181287173749774
adt,basic,3000,5,-100.0,52.15361924162119,58.0,864.5322434704215,14.394296360015868,0.8960920974837442
adt,basic,5000,5,-60.0,0.0,1070.0,0.0,26.84102153778076,0.9264361999522764
